"ID","worktype","composer","display title",
"mc000689","musical composition","Beethoven","Overture ""Leonora No. 3,"" Op. 72, vsn 2",
"mc000691","musical composition","Beethoven","Overture ""Namensfeier,"" Op. 115",
"mc000694","musical composition","Beethoven","Piano Concerto No. 1 in C major, Op. 15",
"mc000695","musical composition","Beethoven","Piano Concerto No. 2 in B-flat major, Op. 19",
"mc000696","musical composition","Beethoven","Piano Concerto No. 3 in C minor, Op. 37",
"mc000697","musical composition","Beethoven","Piano Concerto No. 4 in G major, Op. 58",
"mc000698","musical composition","Beethoven","Piano Concerto No. 5 in E-flat major, Op.73 (""Emperor"")",
"mc000077","musical composition","Beethoven","Piano Sonata in A major, Op. 101",
"mc000051","musical composition","Beethoven","Piano Sonata in A major, Op. 2, No. 2",
"mc000080","musical composition","Beethoven","Piano Sonata in Ab major, Op. 110",
"mc000061","musical composition","Beethoven","Piano Sonata in Ab major, Op. 26",
"mc000078","musical composition","Beethoven","Piano Sonata in Bb major, Op. 106 (""Hammerklavier"")",
"mc000060","musical composition","Beethoven","Piano Sonata in Bb major, Op. 22",
"mc000052","musical composition","Beethoven","Piano Sonata in C major, Op. 2, No. 3",
"mc000070","musical composition","Beethoven","Piano Sonata in C major, Op. 53 (""Waldstein"")",
"mc000054","musical composition","Beethoven","Piano Sonata in C minor, Op. 10, No. 1",
"mc000081","musical composition","Beethoven","Piano Sonata in C minor, Op. 111",
"mc000057","musical composition","Beethoven","Piano Sonata in C minor, Op. 13 (""Pathétique"")",
"mc000065","musical composition","Beethoven","Piano Sonata in C# minor, Op. 27, No. 2 (""Moonlight"")",
"mc000056","musical composition","Beethoven","Piano Sonata in D major, Op. 10, No. 3",
"mc000066","musical composition","Beethoven","Piano Sonata in D major, Op. 28 (""Pastoral"")",
"mc000068","musical composition","Beethoven","Piano Sonata in D minor, Op. 31, No. 2 (""Tempest"")",
"mc000079","musical composition","Beethoven","Piano Sonata in E major, Op. 109",
"mc000058","musical composition","Beethoven","Piano Sonata in E major, Op. 14, No. 1",
"mc000076","musical composition","Beethoven","Piano Sonata in E minor, Op. 90",
"mc000064","musical composition","Beethoven","Piano Sonata in Eb major, Op. 27, No. 1 (""Quasi una fantasia"")",
"mc000069","musical composition","Beethoven","Piano Sonata in Eb major, Op. 31, No. 3",
"mc000053","musical composition","Beethoven","Piano Sonata in Eb major, Op. 7",
"mc000075","musical composition","Beethoven","Piano Sonata in Eb major, Op. 81a (""Les adieux"")",
"mc000055","musical composition","Beethoven","Piano Sonata in F major, Op. 10, No. 2",
"mc000071","musical composition","Beethoven","Piano Sonata in F major, Op. 54",
"mc000050","musical composition","Beethoven","Piano Sonata in F minor, Op. 2, No. 1",
"mc000072","musical composition","Beethoven","Piano Sonata in F minor, Op. 57 (""Appassionata"")",
"mc000073","musical composition","Beethoven","Piano Sonata in F# major, Op. 78",
"mc000059","musical composition","Beethoven","Piano Sonata in G major, Op. 14, No. 2",
"mc000067","musical composition","Beethoven","Piano Sonata in G major, Op. 31, No. 1",
"mc000063","musical composition","Beethoven","Piano Sonata in G major, Op. 49, No. 2",
"mc000074","musical composition","Beethoven","Piano Sonata in G major, Op. 79",
"mc000062","musical composition","Beethoven","Piano Sonata in G minor, Op. 49, No. 1",
"mc000682","musical composition","Beethoven","Piano Sonatas, Op. 10, Nos 1-3",
"mc000683","musical composition","Beethoven","Piano Sonatas, Op. 14, Nos 1 & 2",
"mc000362","musical composition","Beethoven","Piano Trio in Bb major, Op. 97 (""Archduke"")",
"mc000603","musical composition","Beethoven","Piano Trio in C minor, Op. 1, No. 3",
"mc000611","musical composition","Beethoven","Piano Trio in D major, Op. 70, No. 1 (""Ghost"")",
"mc000601","musical composition","Beethoven","Piano Trio in Eb major, Op. 1, No. 1",
"mc000612","musical composition","Beethoven","Piano Trio in Eb major, Op. 70, No. 2",
"mc000602","musical composition","Beethoven","Piano Trio in G major, Op. 1, No. 2",
"mc000740","musical composition","Beethoven","Rondo a capriccio in G major, Op. 129 (""Rage over a Lost Penny"")",
"mc000464","musical composition","Beethoven","Septet in E-flat major, Op. 20",
"mc000471","musical composition","Beethoven","String Quartet in A major, Op. 18, No. 5",
"mc000478","musical composition","Beethoven","String Quartet in A minor, Op. 132",
"mc000479","musical composition","Beethoven","String Quartet in B-flat major, Op. 130",
"mc000472","musical composition","Beethoven","String Quartet in B-flat major, Op. 18, No. 6",
"mc000475","musical composition","Beethoven","String Quartet in C major, Op. 59, No. 3 (""Razumovsky"")",
"mc000470","musical composition","Beethoven","String Quartet in C minor, Op. 18, No. 4",
"mc000480","musical composition","Beethoven","String Quartet in C# minor, Op. 131",
"mc000469","musical composition","Beethoven","String Quartet in D major, Op. 18, No. 3",
"mc000474","musical composition","Beethoven","String Quartet in E minor, Op. 59, No. 2 (""Razumovsky"")",
"mc000477","musical composition","Beethoven","String Quartet in E-flat major, Op. 127",
"mc000476","musical composition","Beethoven","String Quartet in E-flat major, Op. 74 (""Harp"")",
"mc000481","musical composition","Beethoven","String Quartet in F major, Op. 135",
"mc000467","musical composition","Beethoven","String Quartet in F major, Op. 18, No. 1",
"mc000473","musical composition","Beethoven","String Quartet in F major, Op. 59, No. 1 (""Razumovsky"")",
"mc000455","musical composition","Beethoven","String Quartet in F minor, Op. 95 (""Serioso"")",
"mc000466","musical composition","Beethoven","String Quartet in F minor, Op. 95 (""Serioso"")",
